CREATEDAT;CREATEDBY;MODIFIEDAT;MODIFIEDBY;ID;TITLE;PRIO;DESCR;MITI_ID;IMPACTCALC;CRITICALITY;SUPPLIER_ID;PARTNERNAME
2020-09-01;;2020-09-01;max.mustermann@muster.com;aa4ccfef-7505-4715-ba7d-dd4d61484f61;SLA violation with possible termination cause;2;;;0;;1;Leonard Corp
2020-09-01;;2020-09-01;max.mustermann@muster.com;74d26b19-02f5-4eb9-93e4-0b2823f4c74d;SLA violation with possible termination cause;2;;;20834;;4;Food Corp
2020-09-01;;2020-09-01;max.mustermann@muster.com;50d4d2eb-5e56-40b3-943a-7baf236d75a7;SLA violation with possible termination cause;2;;;0;;2;Logistic Corp
2020-09-01;;2020-09-01;max.mustermann@muster.com;fedb6373-f984-4e53-bc15-aecacd608171;SLA violation with possible termination cause;2;;;311862;;3;Walldorf Corp
2020-10-01;;2020-10-01;max.mustermann@muster.com;6c901134-61da-42aa-86ea-65f2848bf0ed;Shipment violating export control;1;;;0;;1;Leonard Corp
2020-10-01;;2020-10-01;max.mustermann@muster.com;270ce4e3-a21a-4666-9ebf-d6aa130a942c;Shipment violating export control;1;;;20706;;4;Food Corp
2020-10-01;;2020-10-01;max.mustermann@muster.com;159ee217-ddd5-4954-ada9-305816f0e189;Shipment violating export control;1;;;24682;;2;Logistic Corp
2020-10-01;;2020-10-01;max.mustermann@muster.com;cedf54e3-acb6-4151-aaa9-65138409c6c3;Shipment violating export control;1;;;314554;;3;Walldorf Corp
2020-11-01;;2020-11-01;max.mustermann@muster.com;8b37b0fb-b8bc-415e-b7b8-06a1e1f5d07b;Shipment violating export control;1;;;4927;;1;Leonard Corp
2020-11-01;;2020-11-01;max.mustermann@muster.com;f7e9c0f2-c665-455b-9cae-4d54bae35793;Shipment violating export control;1;;;18216;;4;Food Corp
2020-11-01;;2020-11-01;max.mustermann@muster.com;2203daeb-163f-466b-a16f-70739b3812df;Shipment violating export control;1;;;35678;;2;Logistic Corp
